;scientific_name;GPE;GPE_count;article_count
420;Canis lupus;Bondurant;1;124
421;Canis lupus;Bozeman;1;124
422;Canis lupus;Britain;1;124
423;Canis lupus;Brooklyn Park;1;124
424;Canis lupus;Brussels;1;124
425;Canis lupus;Buckinghamshire;1;124
426;Canis lupus;Buona Vista;1;124
427;Canis lupus;Burnett County;1;124
428;Canis lupus;Butler County;1;124
429;Canis lupus;CHEYENNE;1;124
430;Canis lupus;CU;1;124
431;Canis lupus;Cairo;1;124
432;Canis lupus;Cameroon;1;124
433;Canis lupus;Canberra;1;124
434;Canis lupus;Cape York;1;124
435;Canis lupus;Central Appalachia;1;124
436;Canis lupus;Central Idaho;1;124
437;Canis lupus;Chaldean;1;124
438;Canis lupus;Chamarajanagar;1;124
439;Canis lupus;Chamarajanagara;1;124
440;Canis lupus;Chikkamagalur district;1;124
441;Canis lupus;Christmas Island;1;124
442;Canis lupus;Cle Elum;1;124
443;Canis lupus;Columbus;1;124
444;Canis lupus;Cooktown;1;124
445;Canis lupus;Crosby Lake;1;124
446;Canis lupus;D-Ore.;1;124
447;Canis lupus;D.C.;1;124
448;Canis lupus;DVM;1;124
449;Canis lupus;Danielle;1;124
450;Canis lupus;Dawson;1;124
451;Canis lupus;Denton;1;124
452;Canis lupus;Dexteria;1;124
453;Canis lupus;Dhole;1;124
454;Canis lupus;Diobsud Creek;1;124
455;Canis lupus;Douglas County;1;124
456;Canis lupus;Duluth;1;124
457;Canis lupus;Eastern Washington;1;124
458;Canis lupus;Edmonton;1;124
459;Canis lupus;England;1;124
460;Canis lupus;Esarhaddon;1;124
461;Canis lupus;Ferry County;1;124
462;Canis lupus;Flixton;1;124
463;Canis lupus;Georgia;1;124
464;Canis lupus;Girish MN;1;124
465;Canis lupus;Gloucester;1;124
466;Canis lupus;Gnanendra;1;124
467;Canis lupus;Grand County;1;124
468;Canis lupus;Grand Rapids;1;124
469;Canis lupus;Great Lakes;1;124
470;Canis lupus;Greenbrier St.;1;124
471;Canis lupus;Guatemala City;1;124
472;Canis lupus;Habakkuk;1;124
473;Canis lupus;Healesville;1;124
474;Canis lupus;Healesville Sanctuary;1;124
475;Canis lupus;Hereford;1;124
476;Canis lupus;Herefordshire;1;124
477;Canis lupus;Houston;1;124
478;Canis lupus;Iceland;1;124
479;Canis lupus;Imnaha;1;124
480;Canis lupus;Isa;1;124
481;Canis lupus;Jackson;1;124
482;Canis lupus;Jackson County;1;124
483;Canis lupus;Jackson Lake;1;124
484;Canis lupus;Jer;1;124
485;Canis lupus;Jezreel;1;124
486;Canis lupus;Kadur;1;124
487;Canis lupus;Kamloops;1;124
488;Canis lupus;Kelowna;1;124
489;Canis lupus;Klamath;1;124
490;Canis lupus;Kouynnjik;1;124
491;Canis lupus;Kreft;1;124
492;Canis lupus;Kunming;1;124
493;Canis lupus;LaGrange;1;124
494;Canis lupus;Lancaster;1;124
495;Canis lupus;Lapua;1;124
496;Canis lupus;Las Cruces;1;124
497;Canis lupus;Lassen County;1;124
498;Canis lupus;Lazio;1;124
499;Canis lupus;Lipfish’s Beach;1;124
500;Canis lupus;London;1;124
501;Canis lupus;Los Angeles;1;124
502;Canis lupus;M.A.;1;124
503;Canis lupus;MA;1;124
504;Canis lupus;MM Hills;1;124
505;Canis lupus;MN;1;124
506;Canis lupus;Madodi;1;124
507;Canis lupus;Maggie Valley;1;124
508;Canis lupus;Mahabaleshwar;1;124
509;Canis lupus;Manitoba;1;124
510;Canis lupus;Manitoulin;1;124
511;Canis lupus;Manzanita;1;124
512;Canis lupus;Maryland;1;124
513;Canis lupus;Massachusetts;1;124
514;Canis lupus;Melbourne;1;124
515;Canis lupus;Milwaukee;1;124
516;Canis lupus;Minnesotan;1;124
517;Canis lupus;Mission Beach;1;124
518;Canis lupus;Mont.;1;124
519;Canis lupus;Montgomery County;1;124
520;Canis lupus;Mysuru;1;124
521;Canis lupus;N.M.;1;124
522;Canis lupus;NE;1;124
523;Canis lupus;NMDGF;1;124
524;Canis lupus;NY;1;124
525;Canis lupus;Nebraska;1;124
