scientific_name;mentions;article_cnt;Kingdom;Class;Order;Family;Genus;Species;country;iso3
Addax nasomaculatus;5;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Chad;TCD
Addax nasomaculatus;4;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;China;CHN
Addax nasomaculatus;4;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Libya;LBY
Addax nasomaculatus;4;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Niger;NER
Addax nasomaculatus;3;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Nigeria;NGA
Addax nasomaculatus;3;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Tunisia;TUN
Addax nasomaculatus;2;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Australia;AUS
Addax nasomaculatus;2;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;France;FRA
Addax nasomaculatus;2;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Kenya;KEN
Addax nasomaculatus;2;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Mauritania;MRT
Addax nasomaculatus;2;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Morocco;MAR
Addax nasomaculatus;2;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;New Zealand;NZL
Addax nasomaculatus;2;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Russian Federation;RUS
Addax nasomaculatus;2;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Rwanda;RWA
Addax nasomaculatus;2;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Sudan;SDN
Addax nasomaculatus;2;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Uzbekistan;UZB
Addax nasomaculatus;1;25;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Algeria;DZA
