scientific_name;Countries;Countries
Ceratotherium simum simum;Vietnam;6
Ceratotherium simum simum;Uganda;4
Ceratotherium simum simum;Chad;3
Ceratotherium simum simum;Malaysia;3
Ceratotherium simum simum;Colombia;2
Ceratotherium simum simum;Canada;1
Ceratotherium simum simum;Democratic Republic of the Congo;1
Ceratotherium simum simum;France;1
Ceratotherium simum simum;India;1
Ceratotherium simum simum;Italy;1
Ceratotherium simum simum;Japan;1
Ceratotherium simum simum;Madagascar;1
Ceratotherium simum simum;Mozambique;1
Ceratotherium simum simum;Nepal;1
Ceratotherium simum simum;Singapore;1
Ceratotherium simum simum;South Sudan;1
Ceratotherium simum simum;Swaziland;1
Ceratotherium simum simum;Yemen;1
Ceratotherium simum simum;Zimbabwe;1
Crocodylus acutus;Cuba;20
Crocodylus acutus;Costa Rica;6
Crocodylus acutus;Jamaica;5
Crocodylus acutus;Australia;3
Crocodylus acutus;Argentina;2
Crocodylus acutus;South Africa;2
Crocodylus acutus;Sweden;2
Crocodylus acutus;Finland;1
Crocodylus acutus;Indonesia;1
Crocodylus acutus;Madagascar;1
Crocodylus acutus;Panama;1
Crocodylus acutus;Turkey;1
Crocodylus cataphractus;Ghana;19
Crocodylus cataphractus;Liberia;5
Crocodylus cataphractus;Cameroon;3
Crocodylus cataphractus;Ivory Coast;2
Crocodylus cataphractus;Nigeria;2
Crocodylus cataphractus;El Salvador;1
Crocodylus cataphractus;Gambia;1
Crocodylus cataphractus;India;1
Crocodylus cataphractus;Ireland;1
Crocodylus cataphractus;Senegal;1
Crocodylus cataphractus;Tanzania;1
Crocodylus cataphractus;Tunisia;1
Crocodylus cataphractus;Uganda;1
Crocodylus cataphractus;United States;1
Crocodylus intermedius;Colombia;18
Crocodylus intermedius;Ecuador;9
Crocodylus intermedius;Venezuela;9
Crocodylus intermedius;Brazil;6
Crocodylus intermedius;Peru;6
Crocodylus intermedius;Canada;2
Crocodylus intermedius;Macedonia;2
Crocodylus intermedius;Czech Republic;1
Crocodylus intermedius;India;1
Crocodylus intermedius;Panama;1
Crocodylus mindorensis;Philippines;77
Crocodylus mindorensis;Indonesia;12
Crocodylus mindorensis;China;11
Crocodylus mindorensis;Malaysia;9
Crocodylus mindorensis;Mexico;7
Crocodylus mindorensis;Vietnam;7
Crocodylus mindorensis;India;6
Crocodylus mindorensis;Russia;6
Crocodylus mindorensis;Australia;5
Crocodylus mindorensis;Cambodia;4
Crocodylus mindorensis;Laos;4
Crocodylus mindorensis;Switzerland;4
Crocodylus mindorensis;Thailand;4
Crocodylus mindorensis;Sudan;3
Crocodylus mindorensis;Brazil;2
Crocodylus mindorensis;Cameroon;2
Crocodylus mindorensis;Czech Republic;2
Crocodylus mindorensis;Kenya;2
Crocodylus mindorensis;New Zealand;2
Crocodylus mindorensis;Nigeria;2
Crocodylus mindorensis;Sri Lanka;2
Crocodylus mindorensis;Bhutan;1
Crocodylus mindorensis;Canada;1
Crocodylus mindorensis;Colombia;1
Crocodylus mindorensis;Guatemala;1
Crocodylus mindorensis;Japan;1
Crocodylus mindorensis;Madagascar;1
Crocodylus mindorensis;Micronesia;1
Crocodylus mindorensis;Nepal;1
Crocodylus mindorensis;New Caledonia;1
Crocodylus mindorensis;Norway;1
Crocodylus mindorensis;South Korea;1
Crocodylus mindorensis;Tanzania;1
Crocodylus mindorensis;Uganda;1
Crocodylus mindorensis;Ukraine;1
Crocodylus moreletii;Mexico;30
Crocodylus moreletii;Guatemala;17
Crocodylus moreletii;Belize;14
Crocodylus moreletii;Australia;7
Crocodylus moreletii;Hong Kong;6
Crocodylus moreletii;Canada;4
Crocodylus moreletii;Montenegro;3
Crocodylus moreletii;Micronesia;2
Crocodylus moreletii;Russia;2
Crocodylus moreletii;Bolivia;1
Crocodylus moreletii;China;1
Crocodylus moreletii;El Salvador;1
Crocodylus moreletii;France;1
Crocodylus moreletii;Indonesia;1
Crocodylus moreletii;Japan;1
Crocodylus moreletii;Kenya;1
Crocodylus moreletii;Mongolia;1
Crocodylus moreletii;Philippines;1
Crocodylus moreletii;Tanzania;1
Crocodylus moreletii;Thailand;1
Crocodylus niloticus;China;47
Crocodylus niloticus;South Africa;21
Crocodylus niloticus;Kenya;14
Crocodylus niloticus;Ethiopia;11
Crocodylus niloticus;Zimbabwe;11
Crocodylus niloticus;Egypt;7
Crocodylus niloticus;Botswana;5
Crocodylus niloticus;Brazil;5
Crocodylus niloticus;Ghana;5
Crocodylus niloticus;Indonesia;5
Crocodylus niloticus;Malawi;5
Crocodylus niloticus;Sudan;5
Crocodylus niloticus;Uganda;5
Crocodylus niloticus;Australia;4
Crocodylus niloticus;France;4
Crocodylus niloticus;Namibia;4
Crocodylus niloticus;Norway;4
Crocodylus niloticus;Hong Kong;3
Crocodylus niloticus;Laos;3
Crocodylus niloticus;Morocco;3
Crocodylus niloticus;Taiwan;3
Crocodylus niloticus;Zambia;3
Crocodylus niloticus;Burkina Faso;2
Crocodylus niloticus;Gabon;2
Crocodylus niloticus;India;2
Crocodylus niloticus;Rwanda;2
Crocodylus niloticus;Spain;2
Crocodylus niloticus;Togo;2
Crocodylus niloticus;Angola;1
Crocodylus niloticus;Benin;1
Crocodylus niloticus;Burundi;1
Crocodylus niloticus;Canada;1
Crocodylus niloticus;Comoros;1
Crocodylus niloticus;Equatorial Guinea;1
Crocodylus niloticus;Germany;1
Crocodylus niloticus;Japan;1
Crocodylus niloticus;Kuwait;1
Crocodylus niloticus;Madagascar;1
Crocodylus niloticus;Mali;1
Crocodylus niloticus;Mozambique;1
Crocodylus niloticus;Niger;1
Crocodylus niloticus;Saudi Arabia;1
Crocodylus niloticus;Senegal;1
Crocodylus niloticus;Singapore;1
Crocodylus niloticus;Somalia;1
Crocodylus niloticus;South Korea;1
Crocodylus niloticus;Syria;1
Crocodylus niloticus;Tanzania;1
Crocodylus niloticus;Thailand;1
Crocodylus niloticus;Turkey;1
Crocodylus palustris;India;56
Crocodylus palustris;Iran;28
Crocodylus palustris;Pakistan;14
Crocodylus palustris;Sri Lanka;12
Crocodylus palustris;Bangladesh;9
Crocodylus palustris;Myanmar;9
Crocodylus palustris;Bhutan;4
Crocodylus palustris;Australia;3
Crocodylus palustris;Nepal;2
Crocodylus palustris;Cuba;1
Crocodylus palustris;Philippines;1
Crocodylus palustris;Seychelles;1
Crocodylus palustris;Singapore;1
Crocodylus porosus;Australia;52
Crocodylus porosus;Singapore;18
Crocodylus porosus;India;13
Crocodylus porosus;Bangladesh;9
Crocodylus porosus;Malaysia;7
Crocodylus porosus;Philippines;5
Crocodylus porosus;Indonesia;3
Crocodylus porosus;Papua New Guinea;2
Crocodylus porosus;New Zealand;1
Crocodylus rhombifer;Cuba;50
Crocodylus rhombifer;India;7
Crocodylus rhombifer;Bahamas;6
Crocodylus rhombifer;Belgium;6
Crocodylus rhombifer;China;6
Crocodylus rhombifer;Colombia;4
Crocodylus rhombifer;Italy;4
Crocodylus rhombifer;Poland;4
Crocodylus rhombifer;Spain;4
Crocodylus rhombifer;Indonesia;3
Crocodylus rhombifer;Brazil;2
Crocodylus rhombifer;France;2
Crocodylus rhombifer;Japan;2
Crocodylus rhombifer;Kenya;2
Crocodylus rhombifer;Kuwait;2
Crocodylus rhombifer;Lebanon;2
Crocodylus rhombifer;Malaysia;2
Crocodylus rhombifer;Mexico;2
Crocodylus rhombifer;Norfolk Island;2
Crocodylus rhombifer;South Korea;2
Crocodylus rhombifer;Thailand;2
Crocodylus rhombifer;Vatican;2
Crocodylus rhombifer;Australia;1
Crocodylus rhombifer;Guam;1
Crocodylus rhombifer;New Zealand;1
Crocodylus rhombifer;Panama;1
Crocodylus rhombifer;Sri Lanka;1
Crocodylus rhombifer;United States;1
Crocodylus siamensis;Cambodia;58
Crocodylus siamensis;Indonesia;24
Crocodylus siamensis;Thailand;14
Crocodylus siamensis;Vietnam;13
Crocodylus siamensis;China;12
Crocodylus siamensis;Laos;9
Crocodylus siamensis;Malaysia;7
Crocodylus siamensis;Myanmar;4
Crocodylus siamensis;Hong Kong;3
Crocodylus siamensis;Australia;2
Crocodylus siamensis;France;2
Crocodylus siamensis;India;2
Crocodylus siamensis;Singapore;2
Crocodylus siamensis;Colombia;1
Crocodylus siamensis;Denmark;1
Crocodylus siamensis;Finland;1
Crocodylus siamensis;Germany;1
Crocodylus siamensis;Italy;1
Crocodylus siamensis;Mexico;1
Crocodylus siamensis;Sudan;1
Crocodylus siamensis;Switzerland;1
Crocodylus siamensis;Zimbabwe;1
Dicerorhinus sumatrensis;Indonesia;127
Dicerorhinus sumatrensis;Malaysia;91
Dicerorhinus sumatrensis;South Africa;11
Dicerorhinus sumatrensis;Singapore;10
Dicerorhinus sumatrensis;India;9
Dicerorhinus sumatrensis;Myanmar;8
Dicerorhinus sumatrensis;Vietnam;6
Dicerorhinus sumatrensis;Bhutan;4
Dicerorhinus sumatrensis;Thailand;4
Dicerorhinus sumatrensis;Germany;3
Dicerorhinus sumatrensis;Bangladesh;2
Dicerorhinus sumatrensis;Cambodia;2
Dicerorhinus sumatrensis;China;2
Dicerorhinus sumatrensis;Namibia;2
Dicerorhinus sumatrensis;Nepal;2
Dicerorhinus sumatrensis;Poland;2
