scientific_name;iso3;iso3
Anodorhynchus glaucus;BWA;1
Anodorhynchus glaucus;CHL;1
Anodorhynchus glaucus;CHN;1
Anodorhynchus glaucus;IND;1
Anodorhynchus glaucus;KEN;1
Anodorhynchus glaucus;PRI;1
Anodorhynchus glaucus;SAU;1
Anodorhynchus glaucus;ZAF;1
Anodorhynchus hyacinthinus;BRA;15
Anodorhynchus hyacinthinus;BOL;10
Anodorhynchus hyacinthinus;CRI;4
Anodorhynchus hyacinthinus;ARG;3
Anodorhynchus hyacinthinus;MEX;3
Anodorhynchus hyacinthinus;PER;3
Anodorhynchus hyacinthinus;USA;3
Anodorhynchus hyacinthinus;CAN;2
Anodorhynchus hyacinthinus;SGP;2
Anodorhynchus hyacinthinus;AUS;1
Anodorhynchus hyacinthinus;AUT;1
Anodorhynchus hyacinthinus;BGD;1
Anodorhynchus hyacinthinus;CHE;1
Anodorhynchus hyacinthinus;CHN;1
Anodorhynchus hyacinthinus;COL;1
Anodorhynchus hyacinthinus;CZE;1
Anodorhynchus hyacinthinus;DEU;1
Anodorhynchus hyacinthinus;ESP;1
Anodorhynchus hyacinthinus;FRA;1
Anodorhynchus hyacinthinus;GBR;1
Anodorhynchus hyacinthinus;IND;1
Anodorhynchus hyacinthinus;MDG;1
Anodorhynchus hyacinthinus;NLD;1
Anodorhynchus hyacinthinus;NZL;1
Anodorhynchus hyacinthinus;PRT;1
Anodorhynchus hyacinthinus;RUS;1
Anodorhynchus hyacinthinus;SVK;1
Anodorhynchus leari;BRA;20
Anodorhynchus leari;USA;10
Anodorhynchus leari;COL;6
Anodorhynchus leari;ARG;4
Anodorhynchus leari;BOL;4
Anodorhynchus leari;CHN;4
Anodorhynchus leari;CHE;3
Anodorhynchus leari;GBR;3
Anodorhynchus leari;PER;3
Anodorhynchus leari;CAN;2
Anodorhynchus leari;CHL;2
Anodorhynchus leari;CRI;2
Anodorhynchus leari;CUB;2
Anodorhynchus leari;DEU;2
Anodorhynchus leari;ETH;2
Anodorhynchus leari;FRA;2
Anodorhynchus leari;IDN;2
Anodorhynchus leari;MEX;2
Anodorhynchus leari;MYS;2
Anodorhynchus leari;NZL;2
Anodorhynchus leari;PHL;2
Anodorhynchus leari;PRT;2
Anodorhynchus leari;SWE;2
Anodorhynchus leari;ZAF;2
Anodorhynchus leari;AUS;1
Anodorhynchus leari;BGD;1
Anodorhynchus leari;BLZ;1
Anodorhynchus leari;BWA;1
Anodorhynchus leari;CMR;1
Anodorhynchus leari;COD;1
Anodorhynchus leari;COG;1
Anodorhynchus leari;CZE;1
Anodorhynchus leari;ESP;1
Anodorhynchus leari;IND;1
Anodorhynchus leari;ITA;1
Anodorhynchus leari;JAM;1
Anodorhynchus leari;JPN;1
Anodorhynchus leari;KEN;1
Anodorhynchus leari;MAR;1
Anodorhynchus leari;MDG;1
Anodorhynchus leari;MMR;1
Anodorhynchus leari;NLD;1
Anodorhynchus leari;PAK;1
Anodorhynchus leari;PRI;1
Anodorhynchus leari;RUS;1
Anodorhynchus leari;SGP;1
Anodorhynchus leari;SUR;1
Anodorhynchus leari;TCD;1
Anodorhynchus leari;THA;1
Anodorhynchus leari;TZA;1
Anodorhynchus leari;VNM;1
Anodorhynchus leari;ZMB;1
Anoxypristis cuspidata;AUS;10
Anoxypristis cuspidata;USA;6
Anoxypristis cuspidata;CHN;3
Anoxypristis cuspidata;BGD;2
Anoxypristis cuspidata;BRA;2
Anoxypristis cuspidata;CAN;2
Anoxypristis cuspidata;CRI;2
Anoxypristis cuspidata;GBR;2
Anoxypristis cuspidata;IND;2
Anoxypristis cuspidata;MEX;2
Anoxypristis cuspidata;CHE;1
Anoxypristis cuspidata;COL;1
Anoxypristis cuspidata;ESP;1
Anoxypristis cuspidata;IDN;1
Anoxypristis cuspidata;MAR;1
Anoxypristis cuspidata;MDG;1
Anoxypristis cuspidata;MRT;1
Anoxypristis cuspidata;MYS;1
Anoxypristis cuspidata;PAK;1
Anoxypristis cuspidata;PER;1
Anoxypristis cuspidata;SDN;1
Anoxypristis cuspidata;THA;1
Anoxypristis cuspidata;TUR;1
Anoxypristis cuspidata;TWN;1
Antilocapra americana;USA;11
Antilocapra americana;CAN;4
Antilocapra americana;MEX;3
Antilocapra americana;TUR;2
Antilocapra americana;DEU;1
Antilocapra americana;IRN;1
Antilocapra americana;IRQ;1
Antilocapra americana;KEN;1
Antilocapra americana;TZA;1
Antilocapra americana;ZAF;1
Aonyx cinerea;AUS;7
Aonyx cinerea;IND;5
Aonyx cinerea;SGP;5
Aonyx cinerea;IDN;4
Aonyx cinerea;JPN;4
Aonyx cinerea;MYS;4
Aonyx cinerea;CHN;3
Aonyx cinerea;NZL;3
Aonyx cinerea;THA;3
Aonyx cinerea;PHL;2
Aonyx cinerea;BGD;1
Aonyx cinerea;BRA;1
Aonyx cinerea;ITA;1
Aonyx cinerea;NPL;1
Aonyx cinerea;USA;1
Aonyx cinerea;VNM;1
Aquila adalberti;ESP;20
Aquila adalberti;GBR;8
Aquila adalberti;PRT;8
Aquila adalberti;ITA;4
Aquila adalberti;FRA;3
Aquila adalberti;HRV;3
Aquila adalberti;RUS;3
Aquila adalberti;BGD;2
Aquila adalberti;BLR;2
Aquila adalberti;GRC;2
Aquila adalberti;IND;2
Aquila adalberti;ISL;2
Aquila adalberti;MAR;2
Aquila adalberti;NPL;2
Aquila adalberti;PAK;2
Aquila adalberti;POL;2
Aquila adalberti;USA;2
Aquila adalberti;AUS;1
Aquila adalberti;BGR;1
Aquila adalberti;BRA;1
Aquila adalberti;CAN;1
Aquila adalberti;CHN;1
Aquila adalberti;COD;1
Aquila adalberti;DNK;1
Aquila adalberti;EST;1
Aquila adalberti;HUN;1
Aquila adalberti;IDN;1
Aquila adalberti;MEX;1
Aquila adalberti;NOR;1
Aquila adalberti;NZL;1
Aquila adalberti;PHL;1
Aquila adalberti;PRK;1
Aquila adalberti;RWA;1
Aquila adalberti;THA;1
Aquila adalberti;TUR;1
Aquila adalberti;VNM;1
Aquila heliaca;SRB;6
Aquila heliaca;IND;5
Aquila heliaca;RUS;5
Aquila heliaca;USA;5
Aquila heliaca;DEU;4
Aquila heliaca;ESP;4
Aquila heliaca;IRN;4
Aquila heliaca;UKR;4
Aquila heliaca;AZE;3
Aquila heliaca;CHN;3
Aquila heliaca;MNE;3
Aquila heliaca;POL;3
Aquila heliaca;PRT;3
Aquila heliaca;ROU;3
Aquila heliaca;TUR;3
Aquila heliaca;BIH;2
Aquila heliaca;DNK;2
Aquila heliaca;EST;2
Aquila heliaca;GBR;2
Aquila heliaca;GEO;2
Aquila heliaca;HUN;2
Aquila heliaca;ISR;2
Aquila heliaca;ITA;2
Aquila heliaca;LTU;2
Aquila heliaca;NPL;2
Aquila heliaca;SVK;2
Aquila heliaca;SVN;2
Aquila heliaca;SWE;2
Aquila heliaca;THA;2
Aquila heliaca;AFG;1
Aquila heliaca;ALB;1
Aquila heliaca;ARG;1
Aquila heliaca;ARM;1
Aquila heliaca;BEL;1
Aquila heliaca;BRA;1
Aquila heliaca;CHE;1
Aquila heliaca;CPV;1
Aquila heliaca;CZE;1
Aquila heliaca;FIN;1
Aquila heliaca;FRA;1
Aquila heliaca;GRC;1
Aquila heliaca;ISL;1
Aquila heliaca;JPN;1
Aquila heliaca;LBN;1
Aquila heliaca;LVA;1
Aquila heliaca;MAR;1
Aquila heliaca;NLD;1
Aquila heliaca;NOR;1
Aquila heliaca;PRK;1
Aquila heliaca;SGP;1
Ara ambiguus;CRI;10
Ara ambiguus;MEX;6
Ara ambiguus;USA;5
Ara ambiguus;BRA;4
Ara ambiguus;COL;3
Ara ambiguus;NZL;3
Ara ambiguus;PER;3
Ara ambiguus;BOL;2
Ara ambiguus;ESP;2
Ara ambiguus;IND;2
Ara ambiguus;ARG;1
Ara ambiguus;AUS;1
Ara ambiguus;CAN;1
Ara ambiguus;CHL;1
Ara ambiguus;DNK;1
Ara ambiguus;GBR;1
Ara ambiguus;GEO;1
Ara ambiguus;GIN;1
Ara ambiguus;IDN;1
Ara ambiguus;JPN;1
Ara ambiguus;MYS;1
Ara ambiguus;PAK;1
Ara ambiguus;ZAF;1
Ara glaucogularis;BOL;9
Ara glaucogularis;USA;6
Ara glaucogularis;CAN;4
Ara glaucogularis;BRA;2
Ara glaucogularis;CHN;2
Ara glaucogularis;GBR;2
Ara glaucogularis;AUS;1
Ara glaucogularis;BGD;1
Ara glaucogularis;CHE;1
Ara glaucogularis;COL;1
Ara glaucogularis;CRI;1
Ara glaucogularis;DEU;1
Ara glaucogularis;GEO;1
Ara glaucogularis;NLD;1
Ara glaucogularis;PER;1
Ara glaucogularis;RUS;1
Ara glaucogularis;SGP;1
Ara glaucogularis;TZA;1
Ara macao;MEX;3
Ara macao;BRA;2
Ara macao;CRI;2
Ara macao;GBR;2
Ara macao;BLZ;1
Ara macao;BOL;1
Ara macao;CHL;1
Ara macao;COL;1
Ara macao;ESP;1
Ara macao;IND;1
Ara macao;MMR;1
Ara macao;PER;1
Ara macao;USA;1
Ara militaris;MEX;5
Ara militaris;USA;4
Ara militaris;BOL;3
Ara militaris;COL;3
Ara militaris;PER;3
Ara militaris;ARG;2
Ara militaris;AUS;2
Ara militaris;CAN;2
Ara militaris;CHN;2
Ara militaris;CRI;2
Ara militaris;ISR;2
Ara militaris;JPN;2
Ara militaris;ZAF;2
Ara militaris;BRA;1
Ara militaris;COG;1
Ara militaris;CZE;1
Ara militaris;DEU;1
Ara militaris;EGY;1
Ara militaris;IND;1
Ara militaris;MYS;1
Ara militaris;PHL;1
Ara militaris;SGP;1
Ara militaris;THA;1
Ara rubrogenys;BOL;5
Ara rubrogenys;ARG;1
Ara rubrogenys;CHL;1
Ara rubrogenys;CHN;1
Ara rubrogenys;ESP;1
Ara rubrogenys;GBR;1
Ara rubrogenys;MDG;1
Ara rubrogenys;MEX;1
Ara rubrogenys;PER;1
Ara rubrogenys;VNM;1
Araucaria araucana;CHL;9
Araucaria araucana;ARG;7
Araucaria araucana;GBR;7
Araucaria araucana;AUS;3
Araucaria araucana;BRA;3
Araucaria araucana;FRA;2
Araucaria araucana;NZL;2
Araucaria araucana;ZAF;2
Araucaria araucana;CHN;1
Araucaria araucana;JPN;1
Araucaria araucana;LKA;1
Araucaria araucana;MDG;1
Araucaria araucana;NLD;1
Araucaria araucana;NOR;1
Araucaria araucana;RUS;1
Araucaria araucana;USA;1
Arctocephalus townsendi;MEX;14
Arctocephalus townsendi;AUS;4
Arctocephalus townsendi;CHN;4
