scientific_name;Countries;Countries
Allocebus trichotis;('Cambodia', 'KHM');1
Allocebus trichotis;('Indonesia', 'IDN');1
Allocebus trichotis;('Mongolia', 'MNG');1
Allocebus trichotis;('Papua New Guinea', 'PNG');1
Allocebus trichotis;('Tanzania, United Republic of', 'TZA');1
Aloe pillansii;('United States', 'USA');2
Aloe pillansii;('Cambodia', 'KHM');1
Aloe pillansii;"(""Lao People's Democratic Republic"", 'LAO')";1
Aloe pillansii;('Madagascar', 'MDG');1
Aloe pillansii;('New Zealand', 'NZL');1
Aloe pillansii;('South Sudan', 'SSD');1
Aloe pillansii;('Sudan', 'SDN');1
Aloe pillansii;('Uganda', 'UGA');1
Aloe pillansii;('United Kingdom', 'GBR');1
Aloe polyphylla;('South Africa', 'ZAF');2
Aloe polyphylla;('United Kingdom', 'GBR');2
Aloe polyphylla;('United States', 'USA');2
Aloe polyphylla;('Congo', 'COG');1
Aloe polyphylla;('Ecuador', 'ECU');1
Aloe polyphylla;('France', 'FRA');1
Aloe polyphylla;('Japan', 'JPN');1
Aloe polyphylla;('Malaysia', 'MYS');1
Aloe polyphylla;('Mexico', 'MEX');1
Aloe polyphylla;('Portugal', 'PRT');1
Aloe polyphylla;('Sri Lanka', 'LKA');1
Aloe polyphylla;('Switzerland', 'CHE');1
Aloe polyphylla;('Thailand', 'THA');1
Alouatta palliata;('Costa Rica', 'CRI');15
Alouatta palliata;('Mexico', 'MEX');6
Alouatta palliata;('United States', 'USA');6
Alouatta palliata;('Panama', 'PAN');5
Alouatta palliata;('Ecuador', 'ECU');3
Alouatta palliata;('Nicaragua', 'NIC');3
Alouatta palliata;('Canada', 'CAN');2
Alouatta palliata;('Colombia', 'COL');2
Alouatta palliata;('Guatemala', 'GTM');2
Alouatta palliata;('Indonesia', 'IDN');2
Alouatta palliata;('New Zealand', 'NZL');2
Alouatta palliata;('Peru', 'PER');2
Alouatta palliata;('Sri Lanka', 'LKA');2
Alouatta palliata;('United Kingdom', 'GBR');2
Alouatta palliata;('Australia', 'AUS');1
Alouatta palliata;('Belize', 'BLZ');1
Alouatta palliata;('Botswana', 'BWA');1
Alouatta palliata;('Brazil', 'BRA');1
Alouatta palliata;('Bulgaria', 'BGR');1
Alouatta palliata;('China', 'CHN');1
Alouatta palliata;('El Salvador', 'SLV');1
Alouatta palliata;('France', 'FRA');1
Alouatta palliata;('Greece', 'GRC');1
Alouatta palliata;('Honduras', 'HND');1
Alouatta palliata;('India', 'IND');1
Alouatta palliata;('Jamaica', 'JAM');1
Alouatta palliata;('Kenya', 'KEN');1
Alouatta palliata;('Madagascar', 'MDG');1
Alouatta palliata;('Malaysia', 'MYS');1
Alouatta palliata;('Norway', 'NOR');1
