scientific_name;Countries;Countries
Asarcornis scutulata;brazil;1
Asarcornis scutulata;germany;1
Asarcornis scutulata;netherlands;1
Asarcornis scutulata;panama;1
Asarcornis scutulata;portugal;1
Asarcornis scutulata;singapore;1
Astrochelys radiata;madagascar;18
Astrochelys radiata;china;12
Astrochelys radiata;indonesia;11
Astrochelys radiata;hong kong;4
Astrochelys radiata;france;3
Astrochelys radiata;india;3
Astrochelys radiata;malaysia;3
Astrochelys radiata;vietnam;2
Astrochelys radiata;brazil;1
Astrochelys radiata;georgia;1
Astrochelys radiata;mauritius;1
Astrochelys radiata;netherlands;1
Astrochelys radiata;thailand;1
Astrochelys yniphora;china;12
Astrochelys yniphora;madagascar;11
Astrochelys yniphora;india;8
Astrochelys yniphora;thailand;7
Astrochelys yniphora;singapore;5
Astrochelys yniphora;vietnam;5
Astrochelys yniphora;indonesia;4
Astrochelys yniphora;kazakhstan;3
Astrochelys yniphora;bangladesh;2
Astrochelys yniphora;hong kong;2
Astrochelys yniphora;kenya;2
Astrochelys yniphora;lebanon;2
Astrochelys yniphora;myanmar;2
Astrochelys yniphora;south africa;2
Astrochelys yniphora;chad;1
Astrochelys yniphora;ethiopia;1
Astrochelys yniphora;france;1
Astrochelys yniphora;ghana;1
Astrochelys yniphora;greece;1
Astrochelys yniphora;kuwait;1
Astrochelys yniphora;malaysia;1
Astrochelys yniphora;mauritius;1
Astrochelys yniphora;nigeria;1
Astrochelys yniphora;pakistan;1
Astrochelys yniphora;peru;1
Astrochelys yniphora;russia;1
Astrochelys yniphora;south sudan;1
Astrochelys yniphora;taiwan;1
Astrochelys yniphora;tanzania;1
Astrochelys yniphora;ukraine;1
Atelopus zeteki;panama;68
Atelopus zeteki;india;9
Atelopus zeteki;australia;6
Atelopus zeteki;costa rica;6
Atelopus zeteki;indonesia;5
Atelopus zeteki;brazil;3
Atelopus zeteki;colombia;3
Atelopus zeteki;south africa;3
Atelopus zeteki;georgia;2
Atelopus zeteki;madagascar;2
Atelopus zeteki;sudan;2
Atelopus zeteki;switzerland;2
Atelopus zeteki;canada;1
Atelopus zeteki;china;1
Atelopus zeteki;cuba;1
Atelopus zeteki;guyana;1
Atelopus zeteki;iran;1
Atelopus zeteki;ireland;1
Atelopus zeteki;malaysia;1
Atelopus zeteki;namibia;1
Atelopus zeteki;netherlands;1
Atelopus zeteki;russia;1
Atelopus zeteki;saudi arabia;1
Atelopus zeteki;south korea;1
Atelopus zeteki;sweden;1
Atelopus zeteki;syria;1
Atelopus zeteki;tanzania;1
Atelopus zeteki;venezuela;1
Atelopus zeteki;vietnam;1
Atelopus zeteki;zimbabwe;1
Atrichornis clamosus;australia;5
Atrichornis clamosus;new zealand;3
Atrichornis clamosus;south africa;1
Avahi laniger;madagascar;8
Avahi laniger;indonesia;4
Avahi laniger;south africa;3
Avahi laniger;australia;2
Avahi laniger;brazil;2
Avahi laniger;thailand;2
Avahi laniger;panama;1
Axis calamianensis;guam;15
Axis calamianensis;japan;1
Axis kuhlii;indonesia;7
Axis kuhlii;china;2
Axis kuhlii;new zealand;2
Axis kuhlii;australia;1
Axis porcinus annamiticus;india;4
Axis porcinus annamiticus;brazil;1
Axis porcinus annamiticus;cambodia;1
Axis porcinus annamiticus;indonesia;1
Axis porcinus annamiticus;malaysia;1
Axis porcinus annamiticus;vietnam;1
Babyrousa babyrussa;indonesia;23
Babyrousa babyrussa;australia;9
Babyrousa babyrussa;india;6
Babyrousa babyrussa;pakistan;4
Babyrousa babyrussa;france;2
Babyrousa babyrussa;japan;2
Babyrousa babyrussa;puerto rico;2
Babyrousa babyrussa;spain;2
Babyrousa babyrussa;east timor;1
Babyrousa babyrussa;germany;1
Babyrousa babyrussa;madagascar;1
Babyrousa babyrussa;russia;1
Babyrousa babyrussa;singapore;1
Babyrousa babyrussa;vietnam;1
Babyrousa celebensis;indonesia;4
Babyrousa celebensis;costa rica;2
Balaena mysticetus;canada;5
Balaena mysticetus;russia;4
Balaena mysticetus;new zealand;1
Balaenoptera acutorostrata;japan;28
Balaenoptera acutorostrata;india;9
Balaenoptera acutorostrata;australia;8
Balaenoptera acutorostrata;brazil;5
Balaenoptera acutorostrata;colombia;4
Balaenoptera acutorostrata;norway;3
Balaenoptera acutorostrata;canada;2
Balaenoptera acutorostrata;tonga;2
Balaenoptera acutorostrata;france;1
Balaenoptera acutorostrata;indonesia;1
Balaenoptera acutorostrata;new zealand;1
Balaenoptera bonaerensis;japan;10
Balaenoptera bonaerensis;australia;4
Balaenoptera bonaerensis;brazil;1
Balaenoptera bonaerensis;france;1
Balaenoptera bonaerensis;germany;1
Balaenoptera borealis;japan;11
Balaenoptera borealis;germany;2
Balaenoptera borealis;botswana;1
Balaenoptera borealis;peru;1
Balaenoptera edeni;japan;15
Balaenoptera edeni;bangladesh;3
Balaenoptera edeni;india;3
Balaenoptera edeni;mexico;1
Balaenoptera edeni;thailand;1
Balaenoptera musculus;new zealand;6
Balaenoptera musculus;china;2
Balaenoptera musculus;australia;1
Balaenoptera musculus;canada;1
Balaenoptera musculus;france;1
Balaenoptera musculus;mexico;1
Balaenoptera musculus;russia;1
Balaenoptera musculus;spain;1
Balaenoptera omurai;thailand;28
Balaenoptera omurai;indonesia;8
Balaenoptera omurai;new zealand;4
Balaenoptera omurai;singapore;4
Balaenoptera omurai;australia;3
Balaenoptera omurai;cambodia;2
Balaenoptera omurai;china;2
Balaenoptera omurai;ecuador;2
Balaenoptera omurai;honduras;2
Balaenoptera omurai;myanmar;2
Balaenoptera omurai;brazil;1
Balaenoptera omurai;france;1
Balaenoptera omurai;india;1
Balaenoptera omurai;madagascar;1
Balaenoptera omurai;mexico;1
Balaenoptera omurai;south africa;1
Balaenoptera physalus;japan;22
Balaenoptera physalus;new zealand;6
Balaenoptera physalus;norway;5
Balaenoptera physalus;italy;4
Balaenoptera physalus;iceland;3
Balaenoptera physalus;china;2
Balaenoptera physalus;germany;2
Balaenoptera physalus;india;2
Balaenoptera physalus;mexico;2
Balaenoptera physalus;peru;2
Balaenoptera physalus;thailand;2
Balaenoptera physalus;argentina;1
Balaenoptera physalus;australia;1
Balaenoptera physalus;belgium;1
Balaenoptera physalus;cambodia;1
Balaenoptera physalus;georgia;1
Balaenoptera physalus;greece;1
Balaenoptera physalus;israel;1
Balaenoptera physalus;monaco;1
Balaenoptera physalus;senegal;1
Balaenoptera physalus;south africa;1
Balaenoptera physalus;south korea;1
Balaenoptera physalus;spain;1
Balaenoptera physalus;turkey;1
Balearica pavonina;nigeria;7
Balearica pavonina;ethiopia;5
Balearica pavonina;chad;4
Balearica pavonina;uganda;3
Balearica pavonina;zimbabwe;3
Balearica pavonina;china;2
Balearica pavonina;namibia;2
Balearica pavonina;senegal;2
Balearica pavonina;south africa;2
Balearica pavonina;zambia;2
Balearica pavonina;australia;1
Balearica pavonina;benin;1
Balearica pavonina;india;1
Balearica pavonina;israel;1
Balearica pavonina;japan;1
Balearica pavonina;kenya;1
Balearica pavonina;liberia;1
Balearica pavonina;niger;1
Balearica pavonina;sri lanka;1
Balearica pavonina;thailand;1
Balearica pavonina;vietnam;1
Batagur affinis;cambodia;44
Batagur affinis;singapore;28
Batagur affinis;malaysia;7
Batagur affinis;myanmar;5
Batagur affinis;thailand;4
Batagur affinis;china;3
Batagur affinis;vietnam;3
Batagur affinis;argentina;1
Batagur affinis;australia;1
Batagur affinis;belgium;1
Batagur affinis;bolivia;1
Batagur affinis;japan;1
Batagur affinis;paraguay;1
Batagur baska;india;29
Batagur baska;bangladesh;28
Batagur baska;myanmar;27
Batagur baska;cambodia;12
Batagur baska;malaysia;6
Batagur baska;indonesia;5
Batagur baska;china;3
