scientific_name;iso3;mentions_country;article_cnt
Aquila heliaca;SVN;2;40
Aquila heliaca;SWE;2;40
Aquila heliaca;THA;2;40
Aquila heliaca;AFG;1;40
Aquila heliaca;ALB;1;40
Aquila heliaca;ARG;1;40
Aquila heliaca;ARM;1;40
Aquila heliaca;BEL;1;40
Aquila heliaca;BRA;1;40
Aquila heliaca;CHE;1;40
Aquila heliaca;CPV;1;40
Aquila heliaca;CZE;1;40
Aquila heliaca;FIN;1;40
Aquila heliaca;FRA;1;40
Aquila heliaca;GRC;1;40
Aquila heliaca;ISL;1;40
Aquila heliaca;JPN;1;40
Aquila heliaca;LBN;1;40
Aquila heliaca;LVA;1;40
Aquila heliaca;MAR;1;40
Aquila heliaca;NLD;1;40
Aquila heliaca;NOR;1;40
