scientific_name;Countries;mentions_country;sharecount;article_cnt;gl_hits;Charisma;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution
Acinonyx jubatus;turkey;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Acinonyx jubatus;uzbekistan;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Acipenser brevirostrum;russia;6;1772.0;24;44300;0;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;I;Canada,United States of America;
Acipenser brevirostrum;canada;3;1772.0;24;44300;0;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;I;Canada,United States of America;
Acipenser brevirostrum;georgia;2;1772.0;24;44300;0;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;I;Canada,United States of America;
Acipenser brevirostrum;brazil;1;1772.0;24;44300;0;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;I;Canada,United States of America;
Acipenser brevirostrum;china;1;1772.0;24;44300;0;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;I;Canada,United States of America;
Acipenser sturio;serbia;11;8133.0;43;96400;0;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;I;Albania,Algeria,Belgium,Bulgaria,Croatia,Estonia,France,Georgia,Germany,Greece,Iceland,Ireland,Italy,Latvia,Lithuania,Montenegro,Morocco,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,Serbia,Spain,Sweden,Turkey,Ukraine,United Kingdom of Great Britain and Northern Ireland;Czech Republic,Denmark
Acipenser sturio;romania;10;8133.0;43;96400;0;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;I;Albania,Algeria,Belgium,Bulgaria,Croatia,Estonia,France,Georgia,Germany,Greece,Iceland,Ireland,Italy,Latvia,Lithuania,Montenegro,Morocco,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,Serbia,Spain,Sweden,Turkey,Ukraine,United Kingdom of Great Britain and Northern Ireland;Czech Republic,Denmark
Acipenser sturio;france;9;8133.0;43;96400;0;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;I;Albania,Algeria,Belgium,Bulgaria,Croatia,Estonia,France,Georgia,Germany,Greece,Iceland,Ireland,Italy,Latvia,Lithuania,Montenegro,Morocco,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,Serbia,Spain,Sweden,Turkey,Ukraine,United Kingdom of Great Britain and Northern Ireland;Czech Republic,Denmark
Acipenser sturio;georgia;7;8133.0;43;96400;0;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;I;Albania,Algeria,Belgium,Bulgaria,Croatia,Estonia,France,Georgia,Germany,Greece,Iceland,Ireland,Italy,Latvia,Lithuania,Montenegro,Morocco,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,Serbia,Spain,Sweden,Turkey,Ukraine,United Kingdom of Great Britain and Northern Ireland;Czech Republic,Denmark
