,geometry,address,lat,lon,freq,name
200,POINT (-66.26152219418967 18.19897685),"Puerto Rico, United States",18.19897685,-66.26152219418967,17,Puerto Rico
201,POINT (51.2295295 25.3336984),قطر,25.3336984,51.2295295,12,Qatar
202,POINT (55.53648011299232 -21.13073795),"La Réunion, France",-21.130737949999997,55.536480112992315,8,Réunion
203,POINT (-12.4870384875 -37.2465),"Saint Helena, Ascension and Tristan da Cunha",-37.2465,-12.4870384875,6,Saint Helena and Dependencies 
204,POINT (-62.6725973 17.250512),Saint Kitts and Nevis,17.250512,-62.6725973,5,Saint Kitts and Nevis
205,POINT (-60.975036 13.8250489),Saint Lucia,13.8250489,-60.975036,8,Saint Lucia
206,POINT (-61.2765569 12.90447),Saint Vincent and the Grenadines,12.90447,-61.2765569,10,Saint Vincent and the Grenadines
207,POINT (-172.12005 -13.7693895),Sāmoa,-13.7693895,-172.12005,8,Samoa
208,POINT (6.9648718 0.8875498000000001),São Tomé e Príncipe,0.8875498,6.9648718,12,Sao Tome and Principe
209,POINT (55.4540146 -4.6574977),Sesel,-4.6574977,55.4540146,10,Seychelles
210,POINT (-63.0549948 18.0423736),"Land Sint Maarten, Nederland",18.0423736,-63.0549948,4,Sint Maarten
211,POINT (-171.819687 -9.167639599999999),Tokelau,-9.1676396,-171.819687,2,Tokelau
212,POINT (-175.202642 -19.9160819),Tonga,-19.9160819,-175.202642,7,Tonga
213,POINT (-71.62017830000001 21.7214683),Turks and Caicos Islands,21.7214683,-71.6201783,7,Turks and Caicos Islands 
214,POINT (179.1582918181797 -8.6405212),Tuvalu,-8.6405212,179.1582918181797,3,Tuvalu
215,POINT (168.1069154 -16.5255069),Vanuatu,-16.5255069,168.1069154,11,Vanuatu
216,POINT (-64.75901597858353 17.7289564),"Virgin Islands, Saint Croix District, United States Virgin Islands, United States",17.7289564,-64.75901597858353,8,Virgin Islands of the USA
217,POINT (-176.204224 -13.289402),"Wallis-et-Futuna, France",-13.289402,-176.204224,3,Wallis and Futuna Islands
218,POINT (-42.8125967 77.6192349),Kalaallit Nunaat,77.6192349,-42.8125967,12,Greenland
219,POINT (-5.3541295 36.140807),"Gibraltar, GX11 1AA, Gibraltar",36.140807,-5.3541295,5,Gibraltar 
220,POINT (172.8344077 -41.5000831),New Zealand / Aotearoa,-41.5000831,172.8344077,17,New Zealand
221,POINT (3.359973295229748 -54.4201305),"Bouvetøya, Norge",-54.4201305,3.3599732952297483,1,Bouvet Island
222,POINT (-59.5383657 -51.9492937),Falkland Islands,-51.9492937,-59.5383657,9,Falkland Islands (Malvinas)
223,POINT (-35.8090698 -54.8432857),South Georgia and the South Sandwich Islands,-54.8432857,-35.8090698,3,South Georgia and South Sandwich Islands 
224,POINT (-7.0322972 62.0448724),Føroyar,62.0448724,-7.0322972,6,Faroe Islands
225,POINT (16.6055740708315 78.51240265),"Svalbard and Jan Mayen, Norge",78.51240265,16.605574070831505,10,Svalbard and Jan Mayen
226,POINT (0.3149312 -79.4063075),Antarctica,-79.4063075,0.3149312,6,Antarctica
227,POINT (28.3350193 -29.6039267),Lesotho,-29.6039267,28.3350193,7,Lesotho
228,POINT (105.6173514897963 -10.49124145),"Christmas Island, Flying Fish Cove, Shire of Christmas Island, Christmas Island, 6798, Australia",-10.49124145,105.6173514897963,6,Christmas Island
229,POINT (113.5514142 22.1757605),"澳門 Macau, 中国",22.1757605,113.5514142,1,Macau
230,POINT (-56.2120555 46.8374544),"Saint-Pierre-et-Miquelon, France",46.8374544,-56.2120555,2,Saint Pierre and Miquelon
231,POINT (-68.28764385602938 12.167),"Bonaire, Nederland",12.167,-68.28764385602938,1,Bonaire
232,POINT (-63.1380042496403 17.56187),"Caribisch Nederland, Nederland",17.56187,-63.138004249640304,1,Saint Eustatius and Saba
233,POINT (7.424224092532953 43.73844905),Monaco,43.73844905,7.424224092532953,4,Monaco
234,POINT (34.26271657213071 31.46242095),"الأراضي الفلسطينية, Palestinian Territory",31.462420950000002,34.262716572130714,1,State of Palestine
235,POINT (-4.5591148 54.1936805),Isle of Man,54.1936805,-4.5591148,2,Isle of Man 
236,POINT (96.8409375 -12.0728315),"Cocos (Keeling) Islands, Australia",-12.0728315,96.8409375,4,Cocos (Keeling) Islands
237,POINT (166.9324426 -0.5252306),Naoero,-0.5252306,166.9324426,2,Nauru
238,POINT (-169.861341 -19.0536414),Niuē,-19.0536414,-169.861341,2,Niue
239,POINT (167.9587289126371 -29.0289575),"Norfolk Island, Burnt Pine, Norfolk Island, 2899, Australia",-29.0289575,167.9587289126371,1,Norfolk Island
