scientific_name;GPE;GPE
Balaenoptera acutorostrata;the United States;2
Balaenoptera acutorostrata;ACSL5;1
Balaenoptera acutorostrata;Aussies;1
Balaenoptera acutorostrata;Bangladesh;1
Balaenoptera acutorostrata;Belugas;1
Balaenoptera acutorostrata;Britain;1
Balaenoptera acutorostrata;British Columbia;1
Balaenoptera acutorostrata;Cape Byron;1
Balaenoptera acutorostrata;Carteret County;1
Balaenoptera acutorostrata;Chile;1
Balaenoptera acutorostrata;Cornish;1
Balaenoptera acutorostrata;Cornwall;1
Balaenoptera acutorostrata;Dhaka;1
Balaenoptera acutorostrata;Diamond Island;1
Balaenoptera acutorostrata;Diamond Island Beach;1
Balaenoptera acutorostrata;Eden;1
Balaenoptera acutorostrata;England;1
Balaenoptera acutorostrata;Florida;1
Balaenoptera acutorostrata;Ghazipur;1
Balaenoptera acutorostrata;Goa;1
Balaenoptera acutorostrata;Goolwa;1
Balaenoptera acutorostrata;Hier;1
Balaenoptera acutorostrata;Indonesia;1
Balaenoptera acutorostrata;Irrawaddy;1
Balaenoptera acutorostrata;Kauai;1
Balaenoptera acutorostrata;Keora;1
Balaenoptera acutorostrata;Labrador;1
Balaenoptera acutorostrata;Les Bergeronnes;1
Balaenoptera acutorostrata;Lofoten Islands;1
Balaenoptera acutorostrata;MOGAT2;1
Balaenoptera acutorostrata;Maryland;1
Balaenoptera acutorostrata;Massachusetts;1
Balaenoptera acutorostrata;Myanmar;1
Balaenoptera acutorostrata;New York Bight;1
Balaenoptera acutorostrata;New Zealand;1
Balaenoptera acutorostrata;Nipa;1
Balaenoptera acutorostrata;North Carolina;1
Balaenoptera acutorostrata;Océanopolis Brest;1
Balaenoptera acutorostrata;Oregon;1
Balaenoptera acutorostrata;PARK7;1
Balaenoptera acutorostrata;PLCB2;1
Balaenoptera acutorostrata;Pacific Grove;1
Balaenoptera acutorostrata;Pago;1
Balaenoptera acutorostrata;Park;1
Balaenoptera acutorostrata;Passur;1
Balaenoptera acutorostrata;Port;1
Balaenoptera acutorostrata;Port Angeles;1
Balaenoptera acutorostrata;Port Douglas;1
Balaenoptera acutorostrata;Punta Arenas;1
Balaenoptera acutorostrata;Quebec City;1
Balaenoptera acutorostrata;SPINK7;1
Balaenoptera acutorostrata;Sandwick;1
Balaenoptera acutorostrata;Scotland;1
Balaenoptera acutorostrata;Seiji;1
Balaenoptera acutorostrata;South Australia;1
Balaenoptera acutorostrata;South Australia's;1
Balaenoptera acutorostrata;South Georgia;1
Balaenoptera acutorostrata;St. Lawrence;1
Balaenoptera acutorostrata;U.K.;1
Balaenoptera acutorostrata;U.S.;1
Balaenoptera acutorostrata;US;1
Balaenoptera acutorostrata;USA;1
Balaenoptera acutorostrata;USSR;1
Balaenoptera acutorostrata;Uljin;1
Balaenoptera acutorostrata;Vancouver;1
Balaenoptera acutorostrata;WASHINGTON;1
Balaenoptera acutorostrata;Waitpinga;1
Balaenoptera acutorostrata;Zodiac;1
Balaenoptera acutorostrata;https://nnimgt-a.akamaihd.net/transform/v1/crop/frm/Y5kUJ9Q7iPMNzBC9i5WqCU/81c41aec-0a48-4502-b742-f9b27a1d70db.jpg/r2_90_958_630_w1200_h678_fmax.jpg;1
Balaenoptera acutorostrata;humans16;1
Balaenoptera acutorostrata;odontocetes;1
Balaenoptera acutorostrata;osso;1
Balaenoptera acutorostrata;progression39;1
Balaenoptera acutorostrata;sievelike;1
Balaenoptera acutorostrata;species17;1
Balaenoptera acutorostrata;"surface-""wasn't";1
Balaenoptera acutorostrata;the United Kingdom;1
Balaenoptera acutorostrata;us @livescience;1
