Id;Kingdom;Phylum;Class;Order;Family;Genus;Species;Subspecies;Scientific Name;Author;Rank;Listing;Party;Listed under;Full note;# Full note;All_DistributionFullNames;All_DistributionISOCodes;NativeDistributionFullNames;Introduced_Distribution;Introduced(?)_Distribution;Reintroduced_Distribution;Extinct_Distribution;Extinct(?)_Distribution;Distribution_Uncertain
34430;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Muntiacus;vuquangensis;;Muntiacus vuquangensis;Tuoc, Dung, Dawson, Arctander and Mackinnon, 1994;SPECIES;I;"";Muntiacus vuquangensis;"";"";Cambodia,Lao People's Democratic Republic,Viet Nam;KH,LA,VN;Lao People's Democratic Republic,Viet Nam;;;;;;Cambodia
8832;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Ozotoceros;bezoarticus;;Ozotoceros bezoarticus;(Linnaeus, 1758);SPECIES;I;"";Ozotoceros bezoarticus;"";"";Argentina,Bolivia (Plurinational State of),Brazil,Paraguay,Uruguay;AR,BO,BR,PY,UY;Argentina,Bolivia (Plurinational State of),Brazil,Paraguay,Uruguay;;;;;;
10291;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Pudu;puda;;Pudu puda;(Molina, 1782);SPECIES;I;"";Pudu puda;"";"";Argentina,Chile;AR,CL;Argentina,Chile;;;;;;
10612;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rucervus;duvaucelii;;Rucervus duvaucelii;(G. Cuvier, 1823);SPECIES;I;"";Rucervus duvaucelii;"";"";Bangladesh,Bhutan,India,Nepal,Pakistan;BD,BT,IN,NP,PK;Bhutan,India,Nepal;;;;Bangladesh,Pakistan;;
4547;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rucervus;eldii;;Rucervus eldii;(McClelland, 1842);SPECIES;I;"";Rucervus eldii;"";"";Cambodia,China,India,Lao People's Democratic Republic,Myanmar,Thailand,Viet Nam;KH,CN,IN,LA,MM,TH,VN;Cambodia,China,India,Lao People's Democratic Republic,Myanmar;;;Thailand;;Viet Nam;
9271;Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;chrysogaster;;Moschus chrysogaster;(Hodgson, 1839);SPECIES;I/II;"";Moschus spp.;"**I** [GENUS listing Moschus spp.] The populations of Afghanistan, Bhutan, India, Myanmar, Nepal and Pakistan are included in Appendix I. All other populations are included in Appendix II.
**II** [GENUS listing Moschus spp.] Except the populations of Afghanistan, Bhutan, India, Myanmar, Nepal and Pakistan, which are included in Appendix I.";"";Bhutan,China,India,Nepal;BT,CN,IN,NP;Bhutan,China,India,Nepal;;;;;;
8689;Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;cupreus;;Moschus cupreus;Grubb, 1982;SPECIES;I;"";Moschus spp.;**I** [GENUS listing Moschus spp.] The populations of Afghanistan, Bhutan, India, Myanmar, Nepal and Pakistan are included in Appendix I. All other populations are included in Appendix II.;"";Afghanistan,India,Pakistan;AF,IN,PK;Afghanistan,India,Pakistan;;;;;;
9694;Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;fuscus;;Moschus fuscus;Li, 1981;SPECIES;I/II;"";Moschus spp.;"**I** [GENUS listing Moschus spp.] The populations of Afghanistan, Bhutan, India, Myanmar, Nepal and Pakistan are included in Appendix I. All other populations are included in Appendix II.
**II** [GENUS listing Moschus spp.] Except the populations of Afghanistan, Bhutan, India, Myanmar, Nepal and Pakistan, which are included in Appendix I.";"";Bhutan,China,India,Myanmar,Nepal;BT,CN,IN,MM,NP;Bhutan,China,India,Myanmar,Nepal;;;;;;
10323;Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;leucogaster;;Moschus leucogaster;Hodgson, 1839;SPECIES;I;"";Moschus spp.;**I** [GENUS listing Moschus spp.] The populations of Afghanistan, Bhutan, India, Myanmar, Nepal and Pakistan are included in Appendix I. All other populations are included in Appendix II.;"";Bhutan,India,Nepal;BT,IN,NP;Bhutan,India,Nepal;;;;;;
3372;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;babyrussa;;Babyrousa babyrussa;(Linnaeus, 1758);SPECIES;I;"";Babyrousa babyrussa;"";"";Indonesia;ID;Indonesia;;;;;;
